OBJECTID,ישוב,סוג רשות מקומית,CR_PNIM,מחוז,סהכ תאונות דרכים,הרוגים,פצועים קשה,פצועים קל,הולכי רגל שנפגעו,נפגעים בגילאי 0-19,נפגעים בגילאי 20-64,נפגעים בגילאי 65 ומעלה,סהכ נפגעים,סהכ נהגים מעורבים,אופנועים,משאיות מעל 3.5 טון,אופניים,רכבים פרטיים,סהכ כלי רכב,Shape_Length,Shape_Area,קוד ישוב,YEARMONTH,תאונות לקילומטר רבוע
75,חדרה,עירייה,6500,חיפה,3321,10,118,4607,426,745,3392,496,4735,6045,292,180,228,4290,6045,42134.58069,56275143.21,6500,202007,59.01362148
76,חולון,עירייה,6600,תל אביב,6054,16,159,7328,791,875,5438,994,7503,10868,1450,277,318,7023,10868,22951.77805,19041388.99,6600,202007,317.9389909
77,חוף אשקלון,מועצה אזורית,5536,דרום,1042,12,45,1670,27,240,1330,128,1727,2057,52,100,8,1591,2057,96728.71474,180647277.8,5536,202007,5.768146704
78,חוף הכרמל,מועצה אזורית,5515,חיפה,869,12,59,1327,48,188,1066,124,1398,1561,85,62,34,1169,1561,152374.9129,194920618.4,5515,202007,4.458225134
79,חוף השרון,מועצה אזורית,5519, ,569,4,24,785,6,71,681,58,813,1184,77,37,4,904,1184,115270.9947,18253188.17,5519,202007,31.17263651
80,חוף השרון,מועצה אזורית,5519,מרכז,342,6,9,429,26,44,363,33,444,658,53,11,10,480,658,116668.7009,30291796.66,5519,202007,11.29018539
81,חוף השרון,מועצה אזורית,5519,תל אביב,10,0,2,9,2,0,11,0,11,18,3,1,0,12,18,8348.933143,1476794.5,5519,202007,6.771422837
82,חורה,מועצה מקומית,1303,דרום,76,4,8,113,19,33,84,6,125,131,2,10,5,70,131,13701.90299,8737974.058,1303,202007,8.697668303
83,חורפיש,מועצה מקומית,0496,צפון,131,1,1,208,17,56,144,6,210,202,8,4,2,158,202,12904.61302,5029579.811,496,202007,26.04591336
84,חיפה,עירייה,4000,חיפה,11124,30,359,14972,1489,1830,11586,1796,15361,20439,842,626,231,15305,20439,57052.63909,72929816.59,4000,202007,152.5302067
85,חצור הגלילית,מועצה מקומית,2034,צפון,200,0,2,275,29,31,215,25,277,354,12,7,6,265,354,12153.91587,5456821.797,2034,202007,36.65137097
86,חריש,מועצה מקומית,1247,חיפה,98,0,3,163,8,28,127,6,166,177,3,10,4,126,177,24621.27296,7029674.756,1247,202007,13.94090102
87,טבריה,עירייה,6700,צפון,1692,7,40,2409,242,450,1725,248,2456,2877,173,81,21,1990,2877,27386.4568,16195577.27,6700,202007,104.4729664
88,טובא - זנגרייה,מועצה מקומית,0962,צפון,39,0,7,51,5,19,33,4,58,58,1,3,2,37,58,15022.89876,3621944.947,962,202007,10.76769541
89,טורעאן,מועצה מקומית,0498,צפון,165,0,5,292,15,62,220,12,297,296,1,10,3,228,296,28222.00665,11913977.22,498,202007,13.84927946
90,טייבה,עירייה,2730,מרכז,1132,10,34,1741,162,429,1250,73,1785,2001,42,62,27,1337,2001,23581.13526,18909120.96,2730,202007,59.86528948
91,טירה,עירייה,2720,מרכז,585,3,21,813,86,164,623,35,837,1045,22,30,25,736,1045,19138.53369,11851704.68,2720,202007,49.35998792
92,טירת כרמל,עירייה,2100,חיפה,569,1,13,804,77,112,611,88,818,1036,33,34,10,770,1036,17662.7382,6710993.404,2100,202007,84.78625529
93,טמרה,עירייה,8900,צפון,817,9,35,1515,91,342,1147,58,1559,1483,27,51,11,1140,1483,41831.19345,29770120.56,8900,202007,27.44362417
94,יאנוח - ג'ת,מועצה מקומית,1295,צפון,120,0,5,184,9,42,136,9,189,184,4,4,3,147,184,24951.98623,13554766.16,1295,202007,8.85297456
95,יבנאל,מועצה מקומית,0046,צפון,68,0,5,103,11,20,74,13,108,121,6,5,1,82,121,38083.92117,31210766.35,46,202007,2.178735352
96,יבנה,עירייה,2660,מרכז,1015,2,12,1314,151,231,983,84,1328,1868,108,59,69,1382,1868,26138.84925,16366528.51,2660,202007,62.0168168
97,יהוד-מונוסון,עירייה,9400,מרכז,549,4,21,659,57,99,479,80,684,993,108,28,24,686,993,14318.16261,5730163.943,9400,202007,95.80877711
98,יואב,מועצה אזורית,5535,דרום,487,16,45,791,10,112,673,55,852,928,32,63,8,648,928,125516.6872,198667379.4,5535,202007,2.451333488
99,יסוד המעלה,מועצה מקומית,0029,צפון,18,0,2,31,3,7,25,1,33,29,1,1,1,12,29,20310.25037,11689237.02,29,202007,1.539878092
100,יפיע,מועצה מקומית,0499,צפון,394,1,21,677,53,172,501,23,699,708,11,16,6,568,708,11920.08248,4080001.212,499,202007,96.56859877
101,יקנעם עילית,עירייה,0240,צפון,706,0,27,1110,39,144,914,74,1137,1394,32,79,5,1041,1394,20588.79417,8311365.535,240,202007,84.94392372
102,ירוחם,מועצה מקומית,0831,דרום,75,0,3,109,17,22,69,18,112,111,3,1,7,74,111,43370.07434,58598381.31,831,202007,1.279898836
103,ירושלים,עירייה,3000,ירושלים,17599,61,804,22254,4139,3773,15435,2122,23119,29849,2378,768,840,18670,29849,104250.6591,125538646.5,3000,202007,140.1879061
104,ירכא,מועצה מקומית,0502,צפון,566,0,14,1007,67,221,751,42,1021,1013,18,16,7,801,1013,28297.86682,15629322.93,502,202007,36.21398076
105,כאבול,מועצה מקומית,0504,צפון,251,1,9,480,30,141,330,15,490,408,6,7,5,312,408,19771.91537,7277324.46,504,202007,34.49069797
106,כאוכב אבו אל היג'א,מועצה מקומית,0505,צפון,119,0,1,231,5,47,179,5,232,231,1,4,0,167,231,7581.630427,2731461.483,505,202007,43.56642066
107,כוכב יאיר,מועצה מקומית,1224,מרכז,59,0,0,70,5,7,51,7,70,104,5,4,2,79,104,11981.96326,3046607.388,1224,202007,19.36580349
108,כסייפה,מועצה מקומית,1059,דרום,38,1,4,46,12,15,35,1,51,50,0,0,2,28,50,26606.21762,13526289.63,1059,202007,2.809343955
109,כסרא - סמיע,מועצה מקומית,1296,צפון,148,1,11,260,20,66,194,11,272,213,0,6,1,171,213,24150.01006,14156038.46,1296,202007,10.45490237
110,כעביה - טבאש - חג'אג'רה,מועצה מקומית,0978,צפון,46,0,2,70,4,16,54,2,72,69,0,1,2,49,69,20468.98238,1553147.899,978,202007,29.61726958
111,כפר ברא,מועצה מקומית,0633,מרכז,54,1,2,67,13,20,41,7,70,86,0,6,2,58,86,8569.137655,2280590.232,633,202007,23.67808089
112,כפר ורדים,מועצה מקומית,1263,צפון,82,0,4,122,12,21,95,7,126,140,1,1,1,114,140,12888.00215,4855698.034,1263,202007,16.88737632
113,כפר יאסיף,מועצה מקומית,0507,צפון,547,1,12,1058,54,240,776,52,1071,1048,42,19,13,821,1048,9376.841062,2660579.181,507,202007,205.5943322
114,כפר יונה,עירייה,0168,מרכז,348,2,9,448,30,92,312,45,459,677,47,17,24,467,677,20297.12768,11510580.81,168,202007,30.23305304
115,כפר כמא,מועצה מקומית,0508,צפון,35,0,5,53,1,13,37,8,58,55,3,2,0,47,55,13215.89407,8826954.458,508,202007,3.965127515
116,כפר כנא,מועצה מקומית,0509,צפון,607,1,19,1043,96,259,761,39,1063,1089,22,39,7,818,1089,20300.58777,10056630.37,509,202007,60.35818934
117,כפר מנדא,מועצה מקומית,0510,צפון,345,2,14,642,67,204,429,21,658,610,9,12,7,429,610,17217.14313,11029159.4,510,202007,31.28071574
