מספר זוגות שהתגרשו לפי מקום מגורים של הזוג,,,,,,,,,,,
מקום מגורים של הזוג,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
געתון,,,,,2,,1,2,,,2
גפן,,,1,,1,,1,2,2,1,2
גרופית,,,2,,1,1,1,1,,,
גשור,,,,1,2,,,,2,,2
גשר,,,2,5,1,1,,,1,1,
גשר הזיו,1,1,1,1,1,6,3,3,2,,2
גת (קיבוץ),,,1,,,,1,1,,1,1
גת רימון,2,,,,,,3,1,1,1,
דאלית אל-כרמל,,,,,,,1,,,,
דבורה,,,1,1,1,1,1,1,1,3,
דבירה,,,,,,,1,1,4,,1
דברת,,,,,1,,,,1,,
דגניה א',,,,1,2,,1,,2,,1
דגניה ב',,2,1,1,1,1,,2,3,,1
"דוב""ב",,,3,,1,,,1,1,,1
דולב,,2,1,,,2,,1,,3,1
דור,,1,,,1,2,2,1,,1,
דורות,,,1,,1,1,3,,,,
דימונה,62,88,80,78,76,88,75,82,85,72,73
דישון,,,,1,1,1,,1,1,1,
דליה,,,1,3,4,1,2,2,1,,1
דלתון,,2,2,,5,,,4,,,2
דן,,,1,2,1,,,,1,,
דפנה,,,2,1,2,,1,,,,
דקל,1,1,,2,,1,2,,1,1,1
האון,,1,,,,,,,,,
הבונים,1,,,3,,1,,,,1,1
הגושרים,,,,1,,1,2,,2,,
הדר עם,,,,3,,,,1,1,1,1
הוד השרון,74,95,87,92,91,111,135,134,116,115,123
הודיה,,,6,2,1,3,1,2,5,,1
הודיות,,,,,,,,,,,1
הושעיה,,,1,,2,3,,3,1,,2
הזורע,,,,1,1,5,2,1,2,1,
הזורעים,,1,,5,,,,2,,,1
החותרים,1,,1,,1,,3,3,1,2,
היוגב,,1,,,2,3,,2,,,
הילה,,,1,1,1,1,2,2,3,3,1
המעפיל,,,4,1,,3,3,2,2,2,
הסוללים,2,,2,1,,3,2,,1,2,2
העוגן,,,,,,1,,1,1,3,3
הר אדר,7,1,12,3,4,6,8,7,9,9,4
הר גילה,,,,,1,1,3,2,3,3,5
הר עמשא,,,,1,,,,,,,
הראל,,,,1,,,,,1,,
הרדוף,,,2,,,2,,,1,1,2
הרצליה,136,234,206,252,209,201,186,180,202,190,204
הררית,,,,,,,2,,1,2,
ורד יריחו,,2,3,,,,1,,1,,7
ורדון,1,,,,,1,,,1,,1
זבדיאל,1,2,,,1,3,,2,3,1,
זוהר,2,1,3,1,1,,,2,2,1,3
זיקים,,,,3,,3,,,2,3,1
זיתן,2,2,,5,8,4,1,1,1,,1
זכרון יעקב,24,29,32,40,49,48,41,43,58,47,35
זכריה,,3,2,,2,3,5,2,1,1,5
זמרת,,,,,1,1,2,1,,1,1
זנוח,,,1,,1,,2,,2,,2
זרועה,,1,1,2,2,2,,1,,,1
זרחיה,,,,1,2,3,,,2,1,1
חבצלת השרון,3,1,1,,,1,1,2,2,,2
חבר,,,3,1,,5,1,2,1,1,1
חברון,,2,,1,,,,2,1,1,
חגור,2,,5,,3,4,5,1,1,7,2
חגי,,,,,,,,,,,1
חגלה,,,1,,1,2,1,1,1,1,1
חדיד,,,,2,4,,1,1,2,1,1
חד-נס,,1,,1,1,1,,4,,5,2
חדרה,126,157,216,226,167,169,174,170,224,225,200
חולדה,,1,1,2,2,2,,1,,1,2
חולון,302,367,411,481,432,447,368,391,392,359,436
חולית,,,,2,,,1,1,,,
חולתה,,,,,1,2,1,,,,
חוסן,2,1,3,1,,3,3,2,6,2,5
חופית,2,1,4,2,,4,,3,2,3,2
חוקוק,,,,1,,1,,,,,
חורשים,,1,1,1,,,2,,,1,2
חזון,,,1,,,2,1,,3,,1
חיבת ציון,,1,1,,1,2,,1,1,3,3
חיננית,,,1,,2,,1,,1,2,
חיפה,341,473,585,698,639,648,654,664,780,666,580
חירות,,,,,,3,1,1,5,2,
חלוץ,,2,,,1,,2,1,3,,1
חלמיש,1,1,1,5,1,2,1,2,1,1,3
חלץ,1,,,,,2,3,1,2,,1
חמד,,,,,,,2,1,,1,1
חמדיה,,,,,3,,,1,,,
חניאל,,2,,2,4,1,3,1,2,1,2
חניתה,,1,1,1,2,1,,,1,,
חנתון,,,,1,,,,1,2,,
חספין,,,,,,,3,,2,3,1
חפץ חיים,,2,,,,,,1,,,4
חפצי-בה,,1,,1,,1,1,,,,1
חצב,1,1,2,1,4,2,2,3,2,1,1
חצבה,1,1,,1,,,,1,,1,2
חצור הגלילית,14,22,17,17,14,25,38,23,22,18,15
חצור-אשדוד,1,,,,1,1,,1,,,1
חצרות חולדה,,1,,,,,,,,,
חצרים,,1,1,,4,2,4,4,2,3,1
חרב לאת,1,,1,3,,1,2,2,1,,1
חרוצים,1,1,1,2,2,1,2,2,1,1,2
חרמש,1,,2,,1,,,,,,
חרשים,,,1,,1,,,,,1,1
חשמונאים,1,4,2,14,16,5,9,11,8,10,7
טבריה,99,103,99,82,112,103,95,102,103,105,101
טירת יהודה,1,,1,,1,,1,4,1,3,2
טירת כרמל,27,34,50,46,58,55,74,43,58,60,46
טירת צבי,,,,,,,,,1,,
טל שחר,4,2,1,2,1,2,,3,1,3,1
טל-אל,,,2,3,2,1,2,1,2,2,3
טללים,,1,3,1,,,,,2,,
טלמון,,,,1,,2,,1,3,1,2
טנא,,,2,,2,2,1,1,,1,
טפחות,,,,,,1,,,,,
יבול,,,,,1,,,2,3,,2
יבנאל,14,12,3,6,3,11,8,11,9,6,9
יבנה,61,94,77,83,86,67,100,84,69,84,101
יגור,,1,,3,1,3,1,,2,3,2
יגל,2,1,4,2,7,2,9,4,3,,2
יד בנימין,,,,1,,4,2,1,5,1,1
יד חנה,,,2,,,3,,1,4,3,2
יד מרדכי,2,,1,,2,1,1,,1,3,
יד נתן,,,3,,2,3,,2,1,2,1
"יד רמב""ם",,,,3,1,,3,4,,2,3
יהוד-מונוסון,2,11,17,24,4,53,77,83,60,64,77
יהל,,1,1,,1,2,,,,3,1
יובל,,,,,,2,,,,1,1
יובלים,,1,1,2,3,,3,6,2,2,1
יודפת,1,,,1,2,2,,1,2,,1
יונתן,,,,,,,1,1,,3,
יושיביה,,,3,,1,,1,,,,2
יזרעאל,,,1,,,,1,,,1,
יחיעם,,2,2,,,1,,,2,,1
יטבתה,1,1,2,,2,1,,,,,1
יכיני,,,2,,5,1,,1,1,1,4
ינוב,,2,2,2,2,8,4,3,1,,1
ינון,2,5,5,1,2,1,4,3,,1,4
יסוד המעלה,1,1,1,2,5,3,1,1,7,3,6
יסודות,,,,,,,4,1,1,,
יסעור,,,1,,1,2,1,,,,3
יעד,,,1,,,1,2,,,2,2
יעף,,,,1,,,,1,,,
יערה,,,,,1,,2,2,,2,1
יפית,,,1,,1,1,,1,2,,
יפעת,,,2,3,3,1,1,1,1,1,2
יפתח,,1,,,,,2,1,1,,
יצהר,,,,,,,,,3,3,1
יציץ,1,,2,1,1,2,3,3,,1,4
יקום,,1,1,,1,2,,1,1,1,
יקיר,,,,,,5,3,4,3,,2
יקנעם (מושבה),,,1,,1,5,2,2,4,2,2
יקנעם עילית,18,16,6,14,9,28,41,56,43,54,38
יראון,1,,,,,1,1,,1,,
ירדנה,,,1,2,1,2,,,1,1,
ירוחם,12,24,15,21,12,21,21,17,13,12,16
ירושלים,570,783,835,978,"1,011",961,"1,200","1,032","1,010",968,890
ירחיב,1,2,1,11,2,5,2,3,6,2,8
ירקונה,,1,2,,1,,,2,,1,
ישע,,1,,,,,,2,1,3,2
ישעי,2,,5,2,2,,1,,3,2,2
ישרש,,3,3,9,2,1,2,1,3,2,6
יתד,,,,,1,,,1,1,2,2
כברי,2,,,3,,1,2,1,1,2,
כדיתה,,,,,,,,2,,,
כוכב השחר,,,1,1,1,2,3,4,3,1,1
כוכב יאיר צור יגאל,,1,1,2,3,7,16,17,11,14,16
כוכב יעקב,4,8,6,9,9,6,14,13,9,16,15
כוכב מיכאל,,1,2,3,,,2,3,2,3,
כורזים,,1,4,1,,1,1,,,1,
כחל,,,,1,,1,1,1,,1,2
כיסופים,,,,,,,,,1,,
כליל,1,,1,,,,,1,,2,1
כלנית,,,,1,,3,,,,,
כמהין,,,,,1,1,,,,1,
כמון,,,1,2,1,3,,,1,1,4
כנף,1,,1,,,1,,1,,2,2
כנרת (מושבה),,1,2,1,1,,1,,2,1,1
כנרת (קבוצה),,1,,3,,,,1,1,,
כסלון,,,,1,2,,,2,2,2,
כפר אביב,,1,2,2,5,2,2,4,1,2,
כפר אדומים,4,1,2,4,3,4,3,5,6,4,7
כפר אוריה,,1,1,1,,2,2,1,2,3,1
כפר אחים,1,1,,,,6,2,2,1,,2
כפר ביאליק,,,1,,1,1,,2,3,1,
"כפר ביל""ו",1,2,2,2,1,3,,6,1,2,1
כפר בלום,2,,,,,1,,,,1,
כפר בן נון,2,,1,1,3,,1,,,1,2
כפר ברוך,,,4,1,1,1,2,2,1,,4
כפר גדעון,1,,,,1,1,,1,,,
כפר גלים,,,,,,,,1,1,,
כפר גליקסון,,,1,1,,1,,,3,1,
כפר גלעדי,1,1,,1,2,,,4,,2,
כפר דניאל,,2,2,1,1,2,,,,1,1
כפר האורנים,,,,,1,2,5,2,6,2,10
כפר החורש,,,,1,,,,,1,,
כפר המכבי,,,,,,1,1,1,2,,1
כפר הנגיד,1,5,5,2,4,3,3,2,1,2,3
כפר הנוער הדתי,,,,,,,,,,1,
כפר הנשיא,,,,,,,5,,2,2,
כפר הס,2,1,4,2,2,4,,,,3,1
"כפר הרא""ה",1,,1,1,,,5,2,1,1,
"כפר הרי""ף",2,1,1,3,1,2,2,4,1,2,1
כפר ויתקין,2,5,5,2,3,4,5,7,3,,3
כפר ורבורג,3,,1,3,3,3,4,2,1,1,1
כפר ורדים,4,5,6,9,6,19,13,15,12,15,12
כפר זוהרים,,,,,,,,,,1,
כפר זיתים,1,1,,3,,1,4,,1,2,1
"כפר חב""ד",1,3,8,4,3,4,6,4,5,6,3
כפר חושן,,,,,1,6,,,2,1,5
כפר חיטים,,,,,,,,,2,2,2
כפר חיים,,,1,,1,,1,,2,1,1
כפר חנניה,,,3,,2,1,,3,,1,3
כפר חסידים א',1,1,,,2,2,2,3,1,,2
כפר חסידים ב',1,,1,,,,1,,,1,1
כפר חרוב,,,1,,1,,1,1,,,
כפר טרומן,1,,,1,1,,5,2,1,6,1
כפר ידידיה,2,2,1,,,,1,1,3,3,2
כפר יהושע,,3,,,2,,2,2,1,1,2
כפר יונה,27,23,44,43,62,46,47,51,29,51,43
כפר יחזקאל,,1,2,,,1,2,2,4,2,2
כפר יעבץ,2,1,2,1,1,1,1,2,1,1,3
כפר מונש,1,2,1,2,3,2,2,2,1,,
כפר מימון,,,,1,,,1,,1,,
"כפר מל""ל",1,,,2,,,,2,,,1
כפר מנחם,,1,,1,,2,3,,1,1,
כפר מסריק,,,3,,,,1,,,,
כפר מרדכי,1,2,2,3,1,,1,1,1,,
כפר נטר,1,6,,2,3,6,,3,1,1,1
כפר סאלד,,,2,1,,1,1,,1,,1
כפר סבא,126,166,178,193,196,190,215,191,200,185,180
כפר סילבר,,,,,,,,,1,,
כפר סירקין,1,,9,3,1,1,2,6,2,5,2
כפר עזה,,1,4,,,2,1,1,3,1,1
כפר עציון,,,2,1,,,,,,,
כפר פינס,,,1,1,,,2,,,1,
כפר קיש,,,1,,,,,3,,,1
כפר ראש הנקרה,,1,2,2,,2,3,2,1,1,1
כפר רוזנואלד (זרעית),,,,,,,,,2,,
כפר רופין,,,1,,,1,,,,,
כפר רות,,,2,3,3,,,,1,2,1
כפר שמאי,1,1,,,1,,1,1,,1,2
כפר שמואל,,2,2,1,,,3,2,6,1,
כפר שמריהו,1,2,2,4,4,11,6,6,2,1,6
כפר תבור,3,4,3,4,9,8,11,5,5,12,9
כפר תפוח,2,,3,1,,3,1,1,1,2,2
כרכום,,3,2,2,,,1,,,1,
כרם בן זמרה,,1,,,,2,,1,,1,2
כרם יבנה (ישיבה),,,,,,,,1,,,
"כרם מהר""ל",,1,3,3,1,2,2,1,1,4,
כרם שלום,,,,,,,,,,,2
כרמי יוסף,,2,4,1,3,6,6,1,1,5,4
כרמי צור,,,,,,1,,,,,
כרמיאל,50,84,95,94,92,82,90,69,91,85,73
כרמיה,,2,1,2,1,,4,1,2,3,3
כרמים,,,,,,,,1,,,
כרמל,,,1,,,2,,1,,,
לא רשום,"3,459","3,634","2,719","2,782","2,520",636,25,7,10,2,4
לבון,,,,,,1,,2,2,2,1
לביא,,1,,,,1,,,1,,
לבנים,,,,,1,1,1,1,1,,
להב,,1,,1,,1,1,,2,2,1
להבות הבשן,,1,1,1,2,,1,2,,4,2
להבות חביבה,,,,,,4,,,,1,2
להבים,4,3,6,21,6,13,13,5,8,8,8
לוד,95,119,137,116,140,116,88,105,103,109,105
לוזית,,,,2,,2,2,1,,1,
לוחמי הגיטאות,,1,,,,,1,3,5,4,11
לוטם,,1,1,3,,,3,1,,,1
לוטן,,,,,,1,,,,,
לימן,,2,1,3,2,3,4,4,3,2,3
לכיש,,,,,,1,,3,,1,
לפיד,2,2,2,2,8,4,7,6,4,3,3
לפידות,,,,,,,,,2,1,
מ.א. חוף הכרמל,,,,,,,,3,2,1,3
מאור,1,1,,2,1,9,3,4,2,2,1
מאיר שפיה,1,,,,,,,,1,,1
מבוא ביתר,1,,1,2,3,1,,,1,,3
מבוא דותן,1,,,,,,,1,3,1,
מבוא חורון,1,,,1,,,,1,1,,2
מבוא חמה,,,,,1,,1,,1,,1
מבוא מודיעים,1,1,,,,1,1,,,,
מבועים,1,1,2,4,3,,5,4,4,4,2
מבטחים,,1,,1,1,2,1,,4,,
מבקיעים,,,2,,1,,2,2,,3,
מבשרת ציון,30,37,56,40,53,59,45,75,47,45,56
מגאר,,,,,,,1,,,,
מגדים,,1,3,5,2,2,1,3,1,3,6
מגדל,3,5,4,5,5,2,1,5,2,3,10
מגדל העמק,37,39,68,74,58,58,53,63,68,73,55
מגדל עוז,,1,,,,,,,2,,
מגדלים,,,,,,,1,,1,,
מגידו,,1,1,1,2,,1,,,1,2
מגל,,,1,,4,,2,3,2,1,3
מגן,,,3,,1,,,1,1,,2
מגן שאול,,,,2,,1,4,1,,,1
מגשימים,,1,1,1,1,1,2,3,1,3,1
