OBJECTID,ID,ישוב,שימוש עיקרי,אוכלוסיה ב-2018,שטח מטר רבוע,סוג אזור,USETYPECOD,הרוגים,פצועים קשה,פצועים קל,הולכי רגל שנפגעו,נפגעים בגילאי 0-19,נפגעים בגילאי 20-64,נפגעים בגילאי 65 ומעלה,סהכ נפגעים,סהכ נהגים מעורבים,אופנועים,משאיות מעל 3.5 טון,אופניים,רכבים פרטיים,סהכ כלי רכב מעורבים,Shape_Length,Shape_Area,סהכ תאונות,תאונות לקילומטר רבוע,CITYCODE
722,1744,חיפה,שטח פתוח,0,240093,פנאי/טבע/ספורט,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2329.652129,240092.5886,0,0,4000
723,711,ראש העין,תעשיה,0,595038,תעשיה/מסחר/מתקנים,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4791.881985,595038.0985,0,0,2640
724,2067,מג'ד אל-כרום,מגורים,4129,4714283,מגורים,1,0,8,299,2,69,226,11,307,196,6,5,1,150,196,15239.37216,4714282.501,89,18.87880075,
725,1337,גבעת זאב,שטח פתוח,0,37017702,פנאי/טבע/ספורט,3,0,5,41,2,20,24,2,46,32,2,0,1,25,32,43991.98595,37017701.89,17,0.459239746,
726,288,יהוד,תעשיה,0,620624,תעשיה/מסחר/מתקנים,4,0,1,16,3,2,14,1,17,20,1,1,0,14,20,3285.243455,620623.9394,11,17.72409877,
727,1979,עכו,שטח פתוח,0,871138,פנאי/טבע/ספורט,3,0,1,24,0,6,19,0,25,17,1,0,0,10,17,4535.145827,871138.0084,8,9.183389914,7600
728,930,יד רמבם גזר עזריה כפר שמואל בית חשמונאי,מגורים,5729,18152383,מגורים,1,3,17,108,1,18,103,7,128,109,3,10,2,75,109,25878.4915,18152383.28,49,2.699370064,
729,1597,"נתיב הגדוד תומר יפית משואה גלגל ייט""ב פצאל נירן נעמ""ה",מגורים,1901,411943029,מגורים,1,11,26,149,4,38,135,13,186,123,4,6,0,84,123,139134.0698,411943029.4,66,0.160216329,
730,2558,מולדה*,מגורים,1739,27977020,מגורים,1,2,0,22,0,3,19,2,24,6,0,0,0,4,6,22329.36144,27977020.47,3,0.107230861,
731,548,ראשון לציון,מגורים,3630,250042,מגורים,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2269.339,250041.9616,0,0,8300
